iter	Passed	Remaining
208	1655	6264
209	1660	6247
210	1667	6233
211	1671	6214
212	1677	6199
213	1683	6183
214	1688	6166
215	1695	6154
216	1704	6148
217	1709	6133
218	1716	6120
219	1723	6110
220	1728	6094
221	1736	6086
222	1743	6074
223	1748	6058
224	1754	6042
225	1759	6027
226	1765	6012
227	1772	6000
228	1777	5985
229	1784	5973
230	1789	5958
231	1795	5944
232	1800	5928
233	1806	5914
234	1813	5902
235	1819	5889
236	1825	5875
237	1830	5861
238	1836	5848
239	1842	5835
240	1848	5822
241	1854	5808
242	1859	5792
243	1865	5779
244	1871	5766
245	1876	5752
246	1883	5741
247	1888	5727
248	1895	5716
249	1902	5706
250	1907	5693
251	1913	5680
252	1918	5665
253	1927	5660
254	1933	5648
255	1941	5642
256	1946	5627
257	1952	5615
258	1958	5603
259	1963	5587
260	1968	5574
261	1974	5560
262	1979	5546
263	1984	5533
264	1989	5519
265	1994	5504
266	2000	5491
267	2005	5478
268	2011	5465
269	2017	5453
270	2023	5441
271	2029	5432
272	2036	5422
273	2044	5416
274	2050	5406
275	2057	5397
276	2063	5386
277	2069	5374
278	2074	5361
279	2081	5352
280	2087	5342
281	2095	5334
282	2100	5322
283	2108	5315
284	2114	5303
285	2120	5292
286	2127	5284
287	2132	5272
288	2138	5260
289	2144	5249
290	2149	5236
291	2156	5227
292	2161	5216
293	2170	5211
294	2176	5200
295	2182	5190
296	2197	5201
297	2204	5193
298	2211	5185
299	2220	5181
300	2227	5172
301	2234	5163
302	2240	5153
303	2246	5144
304	2254	5136
305	2260	5126
306	2267	5119
307	2273	5107
308	2280	5099
309	2286	5088
310	2291	5077
311	2299	5069
312	2305	5059
313	2311	5049
314	2316	5037
315	2321	5024
316	2327	5015
317	2332	5002
318	2337	4989
319	2343	4980
320	2348	4968
321	2355	4959
322	2360	4948
323	2366	4937
324	2371	4926
325	2376	4913
326	2380	4899
327	2386	4888
328	2390	4876
329	2395	4863
330	2401	4852
331	2406	4841
332	2410	4828
333	2416	4818
334	2421	4806
335	2426	4794
336	2431	4783
337	2436	4771
338	2441	4759
339	2446	4748
340	2450	4736
341	2456	4725
342	2460	4713
343	2466	4703
344	2472	4694
345	2477	4682
346	2482	4671
347	2487	4660
348	2491	4647
349	2497	4637
350	2503	4629
351	2509	4619
352	2515	4611
353	2521	4601
354	2527	4591
355	2532	4581
356	2538	4571
357	2542	4559
358	2547	4548
359	2552	4536
360	2558	4528
361	2563	4518
362	2568	4507
363	2575	4500
364	2580	4489
365	2586	4480
366	2592	4472
367	2598	4462
368	2604	4453
369	2609	4442
370	2614	4432
371	2620	4423
372	2625	4413
373	2631	4404
374	2636	4394
375	2641	4383
376	2646	4372
377	2651	4363
378	2656	4352
379	2661	4342
380	2667	4333
381	2672	4324
382	2677	4313
383	2683	4304
384	2688	4294
385	2693	4284
386	2698	4273
387	2703	4264
388	2707	4253
389	2713	4243
390	2718	4233
391	2723	4223
392	2728	4213
393	2732	4203
394	2737	4192
395	2742	4182
396	2747	4173
397	2752	4163
398	2756	4151
399	2762	4143
400	2766	4132
401	2771	4122
402	2777	4114
403	2782	4104
404	2786	4093
405	2791	4084
406	2795	4073
407	2801	4064
408	2806	4055
409	2811	4045
410	2816	4036
411	2821	4027
412	2826	4017
413	2830	4007
414	2837	4000
415	2842	3990
416	2847	3981
417	2852	3971
418	2856	3961
419	2862	3952
420	2866	3942
421	2871	3933
422	2876	3924
423	2882	3915
424	2886	3905
425	2891	3896
426	2896	3886
427	2902	3879
428	2907	3870
429	2912	3860
430	2918	3853
431	2923	3844
432	2929	3835
433	2933	3826
434	2938	3816
435	2943	3808
436	2949	3799
437	2953	3790
438	2959	3781
439	2964	3773
440	2970	3765
441	2976	3758
442	2982	3750
443	2987	3741
444	2994	3734
445	2999	3725
446	3005	3718
447	3011	3710
448	3018	3703
449	3025	3697
450	3030	3689
451	3037	3682
452	3043	3675
453	3049	3668
454	3057	3662
455	3065	3657
456	3072	3651
457	3080	3644
458	3086	3637
459	3092	3630
460	3100	3624
461	3106	3617
462	3112	3609
463	3118	3602
464	3124	3594
465	3131	3588
466	3139	3583
467	3145	3576
468	3151	3568
469	3157	3560
470	3164	3553
471	3170	3546
472	3175	3538
473	3181	3530
474	3186	3522
475	3192	3514
476	3197	3505
477	3202	3496
478	3208	3489
479	3212	3480
480	3217	3471
481	3223	3464
482	3229	3456
483	3233	3447
484	3239	3439
485	3244	3431
486	3249	3422
487	3257	3417
488	3261	3408
489	3267	3400
490	3272	3392
491	3277	3383
492	3282	3375
493	3287	3367
494	3292	3359
495	3298	3351
496	3303	3343
497	3308	3335
498	3313	3327
499	3319	3319
500	3325	3311
501	3330	3303
502	3336	3296
503	3341	3288
504	3346	3280
505	3352	3272
506	3357	3264
507	3362	3256
508	3368	3249
509	3374	3242
510	3380	3235
511	3386	3227
512	3391	3219
513	3398	3213
514	3404	3206
515	3410	3199
516	3416	3191
517	3421	3183
518	3427	3176
519	3433	3168
520	3440	3163
521	3446	3156
522	3454	3150
523	3460	3143
524	3466	3136
525	3473	3129
526	3478	3122
527	3484	3114
528	3489	3107
529	3496	3101
530	3503	3094
531	3509	3086
532	3515	3080
533	3521	3073
534	3527	3066
535	3534	3059
536	3540	3052
537	3548	3046
538	3554	3040
539	3560	3033
540	3567	3026
541	3572	3019
542	3578	3012
543	3586	3006
544	3593	3000
545	3601	2994
546	3610	2989
547	3616	2983
548	3623	2976
549	3629	2969
550	3635	2962
551	3644	2957
552	3650	2950
553	3657	2944
554	3663	2937
555	3671	2931
556	3677	2924
557	3683	2917
558	3689	2910
559	3694	2903
560	3703	2897
561	3709	2890
562	3715	2884
563	3722	2877
564	3728	2870
565	3735	2864
566	3746	2860
567	3761	2860
568	3769	2854
569	3776	2848
570	3789	2846
571	3800	2843
572	3806	2836
573	3814	2831
574	3821	2824
575	3827	2817
576	3836	2812
577	3852	2812
578	3863	2809
579	3870	2802
580	3880	2798
581	3899	2800
582	3914	2799
583	3926	2796
584	3957	2807
585	3976	2809
586	3987	2805
587	3996	2800
588	4002	2792
589	4009	2786
590	4016	2779
591	4025	2774
592	4032	2767
593	4043	2763
594	4058	2762
595	4069	2758
596	4078	2752
597	4088	2748
598	4098	2744
599	4111	2740
600	4121	2736
601	4176	2761
602	4187	2756
603	4197	2752
604	4206	2746
605	4216	2741
606	4225	2735
607	4232	2728
608	4240	2722
609	4246	2715
610	4254	2708
611	4260	2700
612	4266	2693
613	4274	2687
614	4279	2679
615	4287	2672
616	4293	2665
617	4299	2657
618	4307	2651
619	4313	2643
620	4319	2636
621	4326	2629
622	4333	2622
623	4338	2614
624	4345	2607
625	4350	2599
626	4356	2591
627	4364	2585
628	4369	2577
629	4375	2569
630	4381	2562
631	4387	2554
632	4395	2548
633	4401	2540
634	4405	2532
635	4411	2524
636	4417	2517
637	4422	2509
638	4427	2501
639	4433	2493
640	4439	2486
641	4444	2478
642	4449	2470
643	4454	2462
644	4460	2454
645	4465	2446
646	4470	2438
647	4475	2431
648	4480	2423
649	4485	2415
650	4491	2407
651	4496	2399
652	4501	2391
653	4507	2384
654	4513	2377
655	4519	2370
656	4525	2362
657	4530	2354
658	4536	2347
659	4543	2340
660	4550	2333
661	4555	2325
662	4561	2318
663	4567	2311
664	4573	2303
665	4579	2296
666	4584	2288
667	4590	2281
668	4596	2274
669	4602	2266
670	4608	2259
671	4613	2251
672	4619	2244
673	4626	2237
674	4632	2230
675	4638	2223
676	4644	2215
677	4650	2208
678	4655	2200
679	4662	2194
680	4668	2186
681	4674	2179
682	4680	2172
683	4685	2164
684	4693	2158
685	4699	2151
686	4707	2144
687	4712	2137
688	4720	2130
689	4725	2123
690	4731	2115
691	4738	2108
692	4742	2101
693	4748	2093
694	4753	2086
695	4759	2078
696	4765	2071
697	4770	2063
698	4775	2056
699	4781	2049
700	4786	2041
701	4792	2034
702	4797	2026
703	4802	2019
704	4808	2012
705	4814	2004
706	4820	1997
707	4826	1990
708	4833	1983
709	4840	1976
710	4846	1969
711	4855	1963
712	4862	1957
713	4869	1950
714	4875	1943
715	4881	1936
716	4888	1929
717	4894	1922
718	4900	1915
719	4908	1908
720	4914	1901
721	4920	1894
722	4926	1887
723	4932	1880
724	4938	1873
725	4944	1866
726	4951	1859
727	4956	1851
728	4962	1844
729	4969	1838
730	4974	1830
731	4980	1823
732	4985	1816
733	4991	1808
734	4997	1801
735	5002	1794
736	5008	1787
737	5014	1780
738	5020	1772
739	5027	1766
740	5032	1759
741	5038	1752
742	5044	1744
743	5050	1737
744	5056	1730
745	5061	1723
746	5068	1716
747	5074	1709
748	5080	1702
749	5086	1695
750	5094	1688
751	5100	1682
752	5108	1675
753	5114	1668
754	5123	1662
755	5130	1656
756	5139	1649
757	5144	1642
758	5151	1635
759	5157	1628
760	5163	1621
761	5169	1614
762	5176	1607
763	5184	1601
764	5194	1595
765	5202	1589
766	5212	1583
767	5220	1577
768	5231	1571
769	5238	1564
770	5245	1557
771	5251	1550
772	5259	1544
773	5265	1537
774	5272	1530
775	5280	1524
776	5287	1517
777	5294	1510
778	5300	1503
779	5306	1496
780	5313	1489
781	5319	1482
782	5327	1476
783	5333	1469
784	5340	1462
785	5346	1455
786	5351	1448
787	5357	1441
788	5362	1434
789	5367	1426
790	5373	1419
791	5378	1412
792	5384	1405
793	5389	1398
794	5395	1391
795	5401	1384
796	5407	1377
797	5413	1370
798	5419	1363
799	5424	1356
800	5431	1349
801	5437	1342
802	5443	1335
803	5449	1328
804	5455	1321
805	5460	1314
806	5466	1307
807	5473	1300
808	5479	1293
809	5486	1287
810	5492	1280
811	5498	1272
812	5505	1266
813	5511	1259
814	5519	1252
815	5526	1246
816	5534	1239
817	5541	1232
818	5550	1226
819	5557	1219
820	5564	1213
821	5570	1206
822	5578	1199
823	5585	1192
824	5593	1186
825	5598	1179
826	5608	1173
827	5615	1166
828	5623	1159
829	5628	1152
830	5635	1146
831	5641	1139
832	5647	1132
833	5654	1125
834	5659	1118
835	5665	1111
836	5671	1104
837	5676	1097
838	5683	1090
839	5689	1083
840	5695	1076
841	5700	1069
842	5706	1062
843	5712	1055
844	5718	1048
845	5728	1042
846	5736	1036
847	5743	1029
848	5750	1022
849	5757	1015
850	5763	1009
851	5770	1002
852	5776	995
853	5785	989
854	5795	982
855	5803	976
856	5810	969
857	5816	962
858	5824	956
859	5832	949
860	5840	942
861	5847	936
862	5854	929
863	5863	922
864	5871	916
865	5877	909
866	5885	902
867	5892	896
868	5902	889
869	5910	883
870	5917	876
871	5924	869
872	5945	864
873	5951	858
874	5957	851
875	5964	844
876	5970	837
877	5975	830
878	5981	823
879	5987	816
880	5993	809
881	5998	802
882	6003	795
883	6010	788
884	6015	781
885	6020	774
886	6027	767
887	6032	760
888	6037	753
889	6042	746
890	6047	739
891	6053	732
892	6057	725
893	6062	718
894	6068	711
895	6073	704
896	6077	697
897	6082	690
898	6087	683
899	6093	677
900	6099	670
901	6103	663
902	6108	656
903	6114	649
904	6119	642
905	6124	635
906	6129	628
907	6134	621
908	6139	614
909	6144	607
910	6148	600
911	6153	593
912	6158	586
913	6162	579
914	6167	572
915	6171	565
916	6175	558
917	6181	552
918	6185	545
919	6190	538
920	6194	531
921	6199	524
922	6203	517
923	6208	510
924	6213	503
925	6218	496
926	6222	489
927	6227	483
928	6232	476
929	6237	469
930	6244	462
931	6249	455
932	6259	449
933	6265	442
934	6271	435
935	6276	429
936	6281	422
937	6289	415
938	6295	408
939	6305	402
940	6312	395
941	6319	389
942	6325	382
943	6332	375
944	6339	368
945	6346	362
946	6353	355
947	6359	348
948	6366	342
949	6372	335
950	6379	328
951	6387	322
952	6394	315
953	6401	308
954	6408	301
955	6416	295
956	6422	288
957	6429	281
958	6436	275
959	6443	268
960	6449	261
961	6455	255
962	6462	248
963	6468	241
964	6478	234
965	6484	228
966	6491	221
967	6498	214
968	6506	208
969	6512	201
970	6520	194
971	6528	188
972	6538	181
973	6544	174
974	6552	168
975	6558	161
976	6565	154
977	6572	147
978	6578	141
979	6585	134
980	6591	127
981	6598	120
982	6605	114
983	6612	107
984	6619	100
985	6629	94
986	6637	87
987	6646	80
988	6652	73
989	6659	67
990	6666	60
991	6676	53
992	6683	47
993	6691	40
994	6698	33
995	6707	26
996	6715	20
997	6723	13
998	6729	6
999	6737	0
